Iteration 574, loss = 7082575.72313428
Iteration 575, loss = 7080050.28948257
Iteration 576, loss = 7077870.72475140
Iteration 577, loss = 7075630.67314018
Iteration 578, loss = 7073505.34814829
Iteration 579, loss = 7071010.16838537
Iteration 580, loss = 7068740.60928202
Iteration 581, loss = 7066211.21177216
Iteration 582, loss = 7063537.57726246
Iteration 583, loss = 7061959.35273439
Iteration 584, loss = 7060867.23325888
Iteration 585, loss = 7059752.64610073
Iteration 586, loss = 7057937.17812991
Iteration 587, loss = 7055918.66167790
Iteration 588, loss = 7056371.80070638
Iteration 589, loss = 7055814.29589735
Iteration 590, loss = 7053943.66656797
Iteration 591, loss = 7052655.51232329
Iteration 592, loss = 7051585.65509131
Iteration 593, loss = 7049524.69865259
Iteration 594, loss = 7049375.77750771
Iteration 595, loss = 7050069.91694179
Iteration 596, loss = 7048230.48210683
Iteration 597, loss = 7045486.54971117
Iteration 598, loss = 7043499.32659564
Iteration 599, loss = 7041757.85203660
Iteration 600, loss = 7039781.15894695
Iteration 601, loss = 7037703.82450985
Iteration 602, loss = 7035459.70221986
Iteration 603, loss = 7033168.62786401
Iteration 604, loss = 7030897.55670968
Iteration 605, loss = 7028790.99585393
Iteration 606, loss = 7026626.47452949
Iteration 607, loss = 7024459.40216291
Iteration 608, loss = 7022445.36783583
Iteration 609, loss = 7020178.42363697
Iteration 610, loss = 7018280.13265033
Iteration 611, loss = 7017781.74003129
Iteration 612, loss = 7015550.82795183
Iteration 613, loss = 7013342.32211698
Iteration 614, loss = 7011672.09749059
Iteration 615, loss = 7009961.27875412
Iteration 616, loss = 7008117.61044398
Iteration 617, loss = 7006297.43877155
Iteration 618, loss = 7004995.30593536
Iteration 619, loss = 7002758.24820245
Iteration 620, loss = 7000844.36394459
Iteration 621, loss = 6998655.11105585
Iteration 622, loss = 6997604.43313857
Iteration 623, loss = 6996893.86006863
Iteration 624, loss = 7000350.87063369
Iteration 625, loss = 6998919.76628569
Iteration 626, loss = 7001201.04727355
Iteration 627, loss = 6999102.12888291
Iteration 628, loss = 6997267.48808787
Iteration 629, loss = 6995720.34412075
Iteration 630, loss = 6994188.67950337
Iteration 631, loss = 6993537.60400504
Iteration 632, loss = 6993066.84065168
Iteration 633, loss = 6991111.02931475
Iteration 634, loss = 6987707.85663883
Iteration 635, loss = 6986237.86824947
Iteration 636, loss = 6985091.53881319
Iteration 637, loss = 6984408.76506067
Iteration 638, loss = 6982019.40691772
Iteration 639, loss = 6979903.55287024
Iteration 640, loss = 6978611.22367148
Iteration 641, loss = 6976427.12608789
Iteration 642, loss = 6974107.74258728
Iteration 643, loss = 6971954.16871474
Iteration 644, loss = 6969998.25700763
Iteration 645, loss = 6967771.31748319
Iteration 646, loss = 6965605.36959471
Iteration 647, loss = 6964943.90417727
Iteration 648, loss = 6964788.28159932
Iteration 649, loss = 6964026.82788249
Iteration 650, loss = 6962162.68423638
Iteration 651, loss = 6960308.38820881
Iteration 652, loss = 6958468.11645375
Iteration 653, loss = 6958315.87813718
Iteration 654, loss = 6956956.65619069
Iteration 655, loss = 6956439.19609671
Iteration 656, loss = 6954881.09840442
Iteration 657, loss = 6953025.62525926
Iteration 658, loss = 6950922.28820852
Iteration 659, loss = 6948820.06373524
Iteration 660, loss = 6946763.40678036
Iteration 661, loss = 6944707.89015724
Iteration 662, loss = 6942707.86398022
Iteration 663, loss = 6940677.66535885
Iteration 664, loss = 6938612.42718736
Iteration 665, loss = 6936720.80353622
Iteration 666, loss = 6934942.08040426
Iteration 667, loss = 6933395.66099288
Iteration 668, loss = 6933124.16145114
Iteration 669, loss = 6932229.26299390
Iteration 670, loss = 6930529.49229816
Iteration 671, loss = 6928412.45694960
Iteration 672, loss = 6926589.46408642
Iteration 673, loss = 6924840.61462891
Iteration 674, loss = 6922982.19770500
Iteration 675, loss = 6921181.60976076
Iteration 676, loss = 6919269.94522887
Iteration 677, loss = 6917305.77876791
Iteration 678, loss = 6915372.38034920
Iteration 679, loss = 6913382.29182871
Iteration 680, loss = 6911329.44102774
Iteration 681, loss = 6909464.78958384
Iteration 682, loss = 6907697.62945175
Iteration 683, loss = 6906351.93040909
Iteration 684, loss = 6904344.22560288
Iteration 685, loss = 6902125.41972148
Iteration 686, loss = 6899318.12308700
Iteration 687, loss = 6897455.36695602
Iteration 688, loss = 6896288.83084500
Iteration 689, loss = 6896050.36000249
Iteration 690, loss = 6894662.20141731
Iteration 691, loss = 6893786.34242310
Iteration 692, loss = 6892023.64070000
Iteration 693, loss = 6891833.62033141
Iteration 694, loss = 6891018.85538068
Iteration 695, loss = 6890309.45741735
Iteration 696, loss = 6887942.67226338
Iteration 697, loss = 6886208.00573712
Iteration 698, loss = 6885529.20367505
Iteration 699, loss = 6883986.22802532
Iteration 700, loss = 6881786.36937054
Iteration 701, loss = 6880428.95734301
Iteration 702, loss = 6879327.15696013
Iteration 703, loss = 6876889.06431222
Iteration 704, loss = 6874195.51189156
Iteration 705, loss = 6871876.17950066
Iteration 706, loss = 6870189.43242021
Iteration 707, loss = 6869063.30802404
Iteration 708, loss = 6867707.55141051
Iteration 709, loss = 6865762.99699973
Iteration 710, loss = 6863579.80323772
Iteration 711, loss = 6863470.22795464
Iteration 712, loss = 6862101.22172485
Iteration 713, loss = 6859723.51477087
Iteration 714, loss = 6857083.75431488
Iteration 715, loss = 6855221.74351640
Iteration 716, loss = 6854957.34715864
Iteration 717, loss = 6852878.27388913
Iteration 718, loss = 6850928.33548142
Iteration 719, loss = 6849011.94667938
Iteration 720, loss = 6847193.46492006
Iteration 721, loss = 6845127.30534204
Iteration 722, loss = 6843052.27551930
Iteration 723, loss = 6841094.10062659
Iteration 724, loss = 6839325.77187969
Iteration 725, loss = 6837494.69054548
Iteration 726, loss = 6835712.31731406
Iteration 727, loss = 6833760.80278879
Iteration 728, loss = 6832533.50861208
Iteration 729, loss = 6831122.58168642
Iteration 730, loss = 6829529.97347181
Iteration 731, loss = 6827512.49937225
Iteration 732, loss = 6825877.13578371
Iteration 733, loss = 6824698.29072439
Iteration 734, loss = 6824604.87021409
Iteration 735, loss = 6824015.74825630
Iteration 736, loss = 6822283.36947198
