0,1,2,3
9414.0,13367.0,9115.0,13405.0
9115.0,13405.0,9442.0,13446.0
9442.0,13446.0,9901.0,13485.0
9901.0,13485.0,7693.0,13537.0
7693.0,13537.0,5739.0,13598.0
5739.0,13598.0,10529.0,13644.0
10529.0,13644.0,11342.0,13687.0
11342.0,13687.0,9183.0,13725.0
9183.0,13725.0,11346.0,13781.0
11346.0,13781.0,12718.0,13818.0
12718.0,13818.0,9809.0,13861.0
9809.0,13861.0,7255.0,13919.0
7255.0,13919.0,10916.0,13985.0
10916.0,13985.0,13225.0,14056.0
13225.0,14056.0,13101.0,14107.0
13101.0,14107.0,12047.0,14177.0
12047.0,14177.0,11764.0,14228.0
11764.0,14228.0,9493.0,14274.0
9493.0,14274.0,7170.0,14341.0
7170.0,14341.0,10531.0,14418.0
10531.0,14418.0,11617.0,14503.0
11617.0,14503.0,9241.0,14606.0
9241.0,14606.0,15289.0,14696.0
